"Table 2. Per Capita Personal Income, by Metropolitan Area, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in United States,Percent change,,Rank in United States
"Springfield, MO","48,889","50,481","53,435",278,3.3,5.9,102
"Springfield, OH","47,583","48,079","50,553",322,1.0,5.1,202
"State College, PA","54,767","54,756","57,800",204,0.0,5.6,141
"Staunton, VA","51,537","53,755","55,929",242,4.3,4.0,310
"Stockton, CA","55,952","56,363","59,361",182,0.7,5.3,170
"Sumter, SC","46,575","47,169","49,418",333,1.3,4.8,250
"Syracuse, NY","58,069","57,955","60,736",160,-0.2,4.8,245
"Tallahassee, FL","51,561","51,754","55,363",247,0.4,7.0,21
"Tampa-St. Petersburg-Clearwater, FL","58,124","59,961","63,789",121,3.2,6.4,55
"Terre Haute, IN","45,867","46,485","48,561",343,1.3,4.5,280
"Texarkana, TX-AR","46,063","45,559","47,883",353,-1.1,5.1,208
"The Villages, FL","66,960","66,114","71,231",61,-1.3,7.7,6
"Toledo, OH","54,466","55,436","58,180",195,1.8,4.9,228
"Topeka, KS","53,682","54,434","57,810",203,1.4,6.2,68
"Trenton-Princeton, NJ","77,551","80,101","84,392",18,3.3,5.4,165
"Tucson, AZ","53,631","54,776","58,232",194,2.1,6.3,60
